ItemDescription,Condition
"FAIR TO GOOD (normal wear and tear...view photos).We have tested this phone thoroughly, and everything is fine with it besides the following:The Volume Down button on the left edge of this phone doesn't work. However, you can adjust the volume in a couple of ways. First, you can use the inline controls on your headhpones (not included). Second, you can turn on the on-screen controls with AssistiveTouch in Accessibility settings. It's not a big deal. We just wanted to point it out so there are no surprises.",1
"Apple iPhone 8 Plus A1897 - (AT&T UNLOCKED) - GREY - MINT - 64GB - 14 DAY RETURN - Ships Fast
 
 Phone is clean ESN and works on all GSM networks and tested to work on AT&T and T-Mobile.This item is inspected by our expert technicians and it is fully functional. Pictures on the listing are for actual device you will receive.What is included: Phone ONLY.What is NOT included: SD Card, SIM Card, Ear Phones, Owner's Manual & Original Box.Return Policy â€“ All of our sales comes with 14 days return policy from date of package delivery. If item is delivered defective, please contact us as soon as you know. Most times we have replacement unit available in stock, however we also allow to return for refund. All returns where mentioned issue is not validated, or buyer no longer needed the item, a restocking fees of 10% will apply. Our goal is 100% customer satisfaction & we love your positive feedback! Please contact us for any questions.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"A Pre-Loved phone is a gently used, non-certified device that has undergone functional testing and inspection to ensure it is in good working order. Phone comes cleaned, but may have visible usage, wear, and tear. Comes with a 90-Day Limited Replacement Warranty and a charger. Not eligible for Virgin Mobile Phone Insurance.",2
"iPhone 8 Plus 256GB. Rose Gold. Unlocked. Mint. Warranty.
 iPhone 8 Plus 256GB. Rose Gold. Unlocked. The phone has mint condition.Battery has 100%) Only phone for sale. (No other accessories). Phone has Official Apple Warranty up to September 7, 2019 (Check photos) The Phone is unlocked and will work on any GSM network (AT&T, Metro PCS, TMobile, Cricket, etc.) Clean IMEI, Fully paid off! No Billings Issues at All.
 Condition: Phone has a perfect condition. The phone Still has protective plastic on it. 
 Money back warranty 14 days if you receive the phone not as described only. 
 I Will ship through USPS priority mail with insurance at no additional cost to you.",4
Phone is gently used. It has a bad ESN on Sprint which means that it cannot be activated on the Sprint network and it cannot be unlocked. Phone is tested and works fine. There is no Apple ID tied to this phone. It comes with the original box and all unused accessories.,3
"iPhone 7 Plus 256gb | 10/10 | Unlock | Accessories | 30-Day Guarantee
 This iPhone is in 10/10 condition cosmetically, and is unlocked to any carrier. This device is also guaranteed to have a CLEAN ESN and NO ICLOUD account.ALL of our devices we list here at Zelphone go through a 24-point inspection, guaranteed to be ready for use!What you get :1x iPhone 7 Plus 256gb unlocked1x Lightning cable (new)1x USB Power Adapter (new)
 30 DAY MONEY BACK GUARANTEE - Does not cover damage caused by user.
 Priority 2 day USPS Flat Rate- shipped out within 1 business day",4
"*** 60 DAYS GUARANTEE *** FREE CELL PHONE CASE, CHARGER and CAR CHARGER***
 
 This iPhone 7 is in mint condition cosmetically. It is unlocked to all carrier.
 This device is also guaranteed to have a CLEAN ESN and NO ICLOUD account.
 All of our devices listed on Swappa go through a 24-point inspection, guaranteed to be fully functional and ready for use!
 What you get:Battery Health 93%iOS version 12.1.2 (16C101)1x iPhone7 32gb unlocked1x Lightning Cable1x USB Power Adapter1x Cell phone case
 60 DAY MONEY BACK GUARANTEE - Does not cover damage caused by user.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"New phone, not the original box. Phone is a warranty replacement that I received on April 7, and has never been used. No earphones or cord, charging plug included.Will not sell to: 7 Lewis Cir, Wilmington, DE 19804",4
This phone has a few issues the front camera doesnâ€™t work and the Touch ID Doesnâ€™t work.,1
"These iPhones have been tested by our techs and are fully functional. The device may have minor to moderate scuffs, scratches or light dents from normal use and is in overall good working condition. The battery has been tested and works, but battery charge duration cannot be guaranteed. Data has been wiped and IOS has been pre-installed.Tested for Key Functions, R2/Ready for Resale",2
"Product is in good overall cosmetic condition but shows signs of use.The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional.",3
"This phone is being sold as broken for the following reasons: Glass is cracked from the bottom of the phone to the side, battery tested at 78%. Condition: Some Micro-Scratches may appear on the screen from pocket wear. The color is faded around the apple logo on the back of the phone. Although we work hard to make sure there are no other problems with the phone, there may be issues with the phone that are not listed. Under no circumstance will we accept returns or give any partial refunds. Phone only, no accessories.",0
"Cosmetic Condition: This phone is in good preowned condition. It has some general wear. Item has been factory reset. Headphone jack and speaker work. Home button, volume controls, and power button have been tested and function. Item registers as charging. Battery life is untested and we claim no liability for bad batteries. Item has been tested to connect to Wi-Fi. This has not had further testing done and other defects could be present. SIM card has been removed. This phone will only work with the carrier stated in the listing. It will only work in the continental US unless otherwise stated. Phones do not come with active SIM cards and new SIM card or service plan will need to be purchased before phone is fully usable. This item is a donation and we do not know the history of the item. Please see photos for further details.",2
"Device tested 100 percent fully functional.The glass on this device is slightly lifting however it does not affect the functionality of the device. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used.This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",2
"32gb - 92% Battery - $70 in EXTRAS - LOOK!!!
 
 iPhone 7 32GB T-MOBILE/Metro PCS - $70 in EXTRASNEAR MINT CONDITIONFREE PRIORITY MAIL SHIPPING !!!!! 2-3 DAYS AT YOUR DOORSTEP !!!!
 Along with the phone you will receive 3 brand new tempered glass screen protectors, 3 brand new lightning cables and a pair of bluetooth headphones. Everything will be included with the purchase price.
 Please refer to the detailed photos for validation of the phones physical condition.
 We offer a 30 DAY WARRANTY for all reasons. If you change your mind and you want a different device then the one here in this listing then you will have to pay for the return shipping to send the phone back to us. The phone has gone through the industry standard checklist and all of the features are working.
 Does not come with a sim card - PHONE IS READY TO ACTIVATE UPON ARRIVAL !!!!
 
 Damage Description
 
 AMAZING CONDITION92% BATTERY
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"cracked screen but everything still works great on it, itâ€™s through at&t itâ€™s 32gb does not come with a charger pickup only",1
Everything on this phone is fully working. Screen is cracked but is working.,1
"AT&T iPhone 7 Plus- 128GB - Rose Gold - Mint Condition
 Rose Gold iPhone 7 Plus - AT&T - 128GB - Perfect Condition - this still has a screen protector on it and has always been in a case so there is completely damage free. Great phone used by my mother for a little over a year. I have added my mom to my phone plan and upgraded her phone to something smaller. This is a great phone. Please send any questions and open to reasonable offers.",4
"LOOKS NEW!! comes with original box and accessories. SUPER FAST SHIPPING.
 
 Our devices go through a 41 point inspection to insure functionality before being sold.Battery is at 89%.Phone is in flawless mint condition, looks new.Comes with charger, and box.Headphones are NOT included.Phone comes with a 30 day warranty.Warranty does not cover physical damage.Ships within 24 hours except Sundays & Holidays.If you have any questions please do not hesitate to contact us.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Very Good Condition|iPhone 7+ 256G|Unlocked|Rose Gold|Fast Shipping|Full Accessory|30-Day Warranty
 Please read our warranty policy before place the order. Thank you
 Very Good Condition * iOS 12.1.2* 91% Battery Staus * Aftermarket charger & cable * Worldwide GSM Unlocked (Carriers Like T-Mobile & ATT)
 Shipping: USPS First Class fast shipping with insurance
 WARRANTY: We offer a 30 day warranty on all of our items. We will replace/refund any defective device within 30 days of the delivery date.
 PLEASE NOTE: We record all IMEI/serial numbers for every sale. If a device is returned with an IMEI/serial number that does not match or if a device is returned with any replaced parts ,your item will be returned to sender. We will also report any fraud to the proper authorities including our local police department, PayPal, Swappa, United States Postal Service and the Internet Crime Complaint Center (IC3).
 We reserve the right to charge up to a 50% restocking fee for devices not returned in their original condition.
 
 Damage description
 PLS SEE PICS",3
"These devices have been tested and are 100% fully functional. They will show some signs of use such as scuffs, dings and some scratching on the screen. Packaged with an charging cable, wall plug in a box (as shown).30 Day Warranty!",2
"Excellent used refurbished phone, overall condition 8 out of 10. No major marks, scratches or scuffs. Phone ONLY, NO other accessories, shipped in non-retail box.",3
"Unit powers up with good LCD, Touch-Screen, Camera, USB Charge Port, Vibration, Loudspeakers, Buttons, headphone jack and has been data wiped. Please check the IMEI/ESN if you intend to activate this device. Listing comes with the Unit itself and the internal battery which is already included in the device. Does not include original accessories, a charger or SIM cards(SIM card trays may not be included). Tested for key functionality: R2/Ready for resale.",3
Like new with very minimal signs of previous use,3
"32GB
 Clean iCloud
 Phone only (no charger or other accessories included)
 No SIM card included.
 I can only guarantee that this phone will work with the service provider listed, I make no guarantees that this phone is unlocked or can be unlocked.
 
 Damage description
 
 8/10. Phone has some scratches on the screen and on the body of the phone. Battery Health Maximum Capacity is 100%.",2
CRACKED SCREEN BUT WORKS! AND VERY USEABLE,1
"Factory reset and in good working condition. Clean IMEI. Some scuffs, scrapes, and dings may be present on body. Screen has some scratches difficult to show in pictures. Does not include charger or any other accessories. R2/Ready for Resale.",2
"Apple iPhone 8 (Unlocked) - 100% ? - Mint Condition - Charger Included - 30 Days Warranty
 
 Functionality: This Unlocked device is in Mint condition and 100% fully functional. All of our devices are professionally tested and inspected.Preinstalled Tempered Glass
 Cosmetics: The device is in mint condition
 An OEM charger and Head Phone is includedSupported Carriers: This device works with any GSM network worldwide.
 RETURNS
 Our policy lasts 30 days. If 30 days have gone by since your purchase, unfortunately, we canâ€™t offer you a refund or exchange.
 To be eligible for a return, your item must be unused and in the same condition that you received it. It must also be in the original packaging.
 A 10% restocking fee will be charged on non-defective items.
 Refund will be issued within 2 business days after the device is received.
 ShippingWe ship your product in 1 business day, with standard USPS shipping with tracking and insurance. Express Shipping available at checkout. We are not responsible for any delays caused by the parcel carrier
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Great Condition - Item has some minor scratches and comes with a tempered glass screen protector. Does not come with charger, box or headphones. GSM CARRIERS ONLY!",3
"New condition iPhone XR for sale. Itâ€™s 64GB (AT&T) 
 Selling it because I upgraded to XS",3
"This unit has a cracked screen (screen and touchscreen still fully work). Otherwise, it was tested, and all other features seem to fully work such as: Touchscreen, Fingerprint, Charging, Physical Buttons, SIM reader, WiFi, Proximity sensor, cameras, microphone, speakers, phone calls, water damage indicator in SIM tray appears normal, not iCloud locked. Sold AS IS (no guarantees) for potential parts, use or repair.",1
Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:,0
The sound IC is doesn't work and the touch screen stops working randomly. Every other part of this Phone is Fully Functional. Phone's overall cosmetic condition is 8 out of 10,1
"Great Condition, bad ESN",0
Phone has been tested for 100% functionality. GRADE A Condition. Clean history. Shows very minor usage,3
"DEVICE CANNOT BE UNLOCKED! FOR USE ON THE AT&T NETWORK ONLY! Device tested 100 percent fully functional. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",3
"This Factory Unlocked Space Gray 16GB Apple iPhone SE is in EXCELLENT cosmetic condition. This phone was a store model. The screen has some light rubbing marks scattered around handling while on display and what to me looks like being pressed up against a casing. It is very light and otherwise the screen looks and works perfect. The body is perfect. Overall this phone looks amazing. The battery life is great on this phone. (I tested it with official Apple software). It does not come with the original box, but it does come with an OEM Apple USB cable and an OEM Apple Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty!",3
"iPhone 8 Plus 64GB Unlocked 
 
 iPhone 8 Plus Color: Space GreyStorage: 64GBCarrier: Unlocked for any phone companyBattery health: 90%PLEASE NOTE: We record all IMEI/serial numbers for every sale. If a device is returned with an IMEI/serial number that does not match or if a device is returned with any replaced parts ,your item will be returned to sender. We will also report any fraud to the proper authorities including our local police department, PayPal, Swappa, United States Postal Service and the Internet Crime Complaint Center (IC3)
 
 Damage Description
 
 Has a few scratches on back. Also screen has been replaced with a high quality aftermarket screen
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"Like New Mint - Box/Accessories - Apple Warranty!
 
 Apple iPhone XR 128GB WHITE AT&T Network Only. Mint Condition/Open Box with plastics still on it. Includes all Accessories & Original Box. Apple Warranty active until November 22, 2019.
 Save hundreds here on a Mint device that has Apple warranty remaining.
 For use with AT&T only. Cannot be unlocked for use on other Carriers.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Cloud locked for parts only 
 Clean body and screen seems like never opened",0
"This iphone is in excellent condition with no visible scratches, marks, dents, or cracks. Open to the Sprint network.",4
still nice condition has some signs of use,3
"Clean ESN for Verizon, 128GB, cracked screen. Does not include charger.",1
"iPhone 7 with Case
 
 iPhone 7 with case. Great condition no issues with the phone.
 No other accessories
 
 Damage Description
 
 Normal signs of use, small scuffs on back (from case) and glass that are very minor
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"iPhone 8 - 64Gb - Unlocked -Ships Today (Before 2PM EST) - 30 Day Warranty
 ""Overall cosmetic condition: C Grade
 Description: Good condition having a small to fair amount of wear.
 For a better idea of damage, look at the pictures and read the damage description section.
 OS Version: iOs 12.1.4This was recorded at the time of testing and may have been updated since. Usually it will be on this OS version. We will not accept returns for firmware issues. 
 Unlocked: YesThis device is factory unlocked and can be activated with any carrier. Check with your carrier prior to purchasing to make sure this device is supported.) There will be no sim card provided with this device.
 Battery Health Percentage: 88.4%Charge cycles: 277
 No accessories will be included unless stated.
 Please make sure you read the whole listing and ask questions before making your purchase
 These phones are used and should be treated as such. Do not expect an OEM condition device.
 Inventory Number: 1904031
 SKU: 1110220143""
 
 Damage description
 ""Screen: 7/10
 
 Description: Has a fair amount of wear. (Heavy scratching)
 
 Please Note: The rating here is a cosmetic (scratching) rating. Defects are in condition notes.
 
 
 
 Frame: 9/10
 
 Description: Little to no wear. (Light scratching/dents)
 
 
 
 Back: 8/10
 
 Description: Has a small to fair amount of wear. (Moderate scratching/dents)
 
 
 
 Overall: 24/30
 
 
 
 Condition Notes: These devices are used and may include any of the following flaws, gap between the screen and frame, slight yellowing of LCD, small bright spots, replaced parts, degraded audio, degraded battery life and more. Do not expect the battery life to be perfect.We are not the original owners of any of the devices we sell. Please be aware of any manufacturer defects as they should be expected. Please research any device you plan on purchasing. We cannot be held responsible for manufacturer defects.""",1
This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.,2
* NO SERVICE RANDOMLY * - Excellent condition cosmetically (9/10). Unlocked worldwide. Clean IMEI. No iCloud lock.,3
"Device tested 100 percent fully functional. This phone is in poor condition with heavy wear which can slightly affect visibility when the device is powered on. Housing shows nicks, dings, denting and a small hairline crack. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used.This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",1
Never used.??In Excellent Condition with Full Accessories??1 Year Warranty.,4
"This iPhone has been certified by our industry-leading mobile diagnostic software to be 100% fully functional.It is in GOOD cosmetic condition showing normal signs of use on the screen along with scratching and/or dings on the sides and back casing.This phone is fully functional with all GSM carriers such as AT&T, T-Mobile, etc.It will not activate with CDMA carriers such as Verizon or Sprint.Premium aftermarket charger is included.Original packaging and SIM card are not included.",2
Clean IMEI. No iCloud. Glass 7+/10 - wear and tear and scratchings 9-/10 Housing some minor wear and tear.iOS 10.3.3,3
"Rose Gold
 Screen cracked, but everything else works great! 
 Perfect for parts 
 Verizon 
 Case will come with it if wanted :)",0
"Cracked screen, phone shows signs of power, Icloud locked",0
Clean used working condition but no touch ID.,2
"Cracked on bottom right corner of screen, otherwise good condition",1
"Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera Glass, Front Camera",1
"iPhone 6 Grey, 64gb
 
 Damage description
 Minor scratches around charging port, misaligned front camer that does NOT affect front facing camera. Screen was not replaced this was a manufacturer mistake.",2
These phones are brand new open box not a sealed box.100% ready for activation no issues all original accessories are inside as shown in photos,4
"***NO RETURNS ACCEPTED.The Good: -The phone is unlocked and can be used on any carrier GSM Network. -The phone has been tested and has no other issues.-iCloud Free and Clear -Clean ESN The Bad :*** The screen is an aftermarket screen. The HOME BUTTON DOES NOT WORK AND TOUCH ID ALSO DOES NOT WORK. Touch ID cannot be repaired. The screen's glass is 3rd party and Home button does not work. Soft Home button works fine .Best Buy or Apple Store can replace screen o and reprogram home button. The back has some scratches. Please reference ACTUAL photos and listing for further details.****DOES NOT INCLUDE CHARGER.â€CHARGER,box, EARBUDS ANDARE NOT INCLUDED. PHONE ONLY.â€",0
Screen is not responsive,0
Slight scratch on bottom by lightning connector.,2
"Mind condition. No dings or dents, no major scratches. Front of screen and back glass is perfect.",3
"Very well taken care of iphone7 plus. (GSM unlocked)
 
 Jet black 32 GB
 
 iPhone only. Minor signs of wear. 9/10 cosmetically speaking. 100% functionality.
 
 IMEI# 35 535108 188725 7",3
"Gently Used - Tested Working and Functional with ISSUE. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be used Worldwide on ANY GSM NETWORK. ISSUE: Weak WiFi.",2
"Very nice. No scuffs or scratches. Looks and works like new. Does not include charger or cord, so you'll have to pick one up at Best buy or online.",3
"I had it with metro basically new I only had it for a month
 No cracks 
 Metro T-Mobile",3
Cracked Screen but comes with ZIZO bolt case,1
"T-Mobile iPhone 7 32gb gold
 Damage Description
 
 Slight wear. See photos.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"Good Condition - Always in Otter Box Defender Case
 Phone works flawless - looks great. 
 Has always been in an Otter Box Defender Case (included)
 
 Damage description
 No observable wear - being conservative with the good rating.",4
"iPhone 5s - no cords, no manuals. 
 
 Rose Gold iPhone 5s - no cords, no manuals - slight haze to rear camera
 
 Damage Description
 
 Rose Gold iPhone 5s - no cords, no manuals - slight haze to rear camera
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"Used in Great Cosmetic Condition, No Reserve Auction",3
The Phone is fully functional and works great. The phone is in good condition. Please read the full description.,3
"Device tested 100 percent fully functional. This device is cracked on the top left corner of the glass which does not cross or affect the display. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks, dings and denting. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",1
This phone in the cosmetic condition shown - the screen is cracked.It is in good working order.The IMEI (355421077278038) is clean. The sale includes ONLY what is shown.,1
"iPhone 8 Plus Rose Gold 
 64gb 
 Excellent Condition 
 iCloud Locked 
 Only Good For Parts",0
"Used Iphone 5c... Dents in corners, light scratching on the back. Screen is perfectly intact. No scratches or cracks on screen",2
Very good condition in box with accessories. Unlocked. Fully working.,4
iCloud locked,0
"Mint condition ,Unlocked and apple care till July 9 2020
 Itâ€™s really good condition! Come with original box , except headphones! It has cover apple care till July 09 ,2020.Very good condition and free from scratch and dent except very light scratch in corner due to friction of case because it always in case since I bought 
 
 Damage description
 Itâ€™s perfect itâ€™s mint condition",3
"Excellent used condition with a flawless screen.Housing has a few dings, scratches and some wear marks on bottom back. (see pics).100% fully functional.Clean IMEI.No iCloud lock.",3
FULLY FUNCTIONAL - SHOWS SIGNS OF USE - NO ICLOUD LOCK - READY TO BE ACTIVATED ON AT&T NETWORK: 358542077561917 - LOCKED TO AT&T - ANY UNLOCKING IS BUYER'S RESPONSIBILITY - SELLER WILL NOT HELP IN ANY WAY - COMES WITH AFTERMARKET USB CHARGER AND EARBUDS - PLEASE ASK ANY QUESTIONS YOU MAY HAVE BEFORE PURCHASING - WILL BE SHIPPED PRIORITY MAIL,3
"iCloud locked
 
 The phone is spotless, no scratches, no cracks",0
Apple iPhone 5c --Includes OEM Apple Charger and MFI cable. Backed by ebay 30 day Moneyback Guarantee. Shipped out of California. (B Stock Condition)---Fully Restored to Working Condition. Thoroughly Tested and inspected. 100% working order.Has some minor cosmetic imperfections such as scratches from handling.,2
Clear Screen. Every part of this Phone is Fully Functional. Phone's overall cosmetic condition is 8.5 out of 10,3
"SCREEN (7.5-10) HAS MINOR SCRATCHES AND THE BACK (9-10) NO CRACK HAS SOME MINOR SCRATCHES, PHONE IS ICL0UD L0CKED, STUCK ON ACTIVATION SCREEN AS PICTURED!!!FOR PARTS ONLY !!!",0
"EXCELLENT CONDITION APPLE iPhone 6s 16GB A1633 MKRD2LL/A AT&T Phone 
 
 Fully functional 6S in excellent condition.Charger not includedFast next day shipping to USA addresses ONLY!PayPal payment with a verified addressReturns accepted within 30 days.
 
 Damage Description
 
 Looks excellent overall, very minor wear
 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"Device has been used and returned within 15 days of use.Device is in like new condition with little to no scratches or wear.Device has been tested for bluetooth, call, camera, location, touch wifi functionality.IMEI is unlocked (checked via swappa).Device has been signed out of icloud.",4
Not actually used. Very good condition,3
"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network.",3
"The iPhone has been tested to power on & to connect to iTunes.
 The iPhone is GSM unlocked and can be used on any GSM carrier such as AT&T, Cricket, T-Mobile, & many more. It can also be used on Verizon Wireless. 
 The previous iCloud account has been properly removed. The device may or may not have the Mobile Device Management (MDM) lock enabled. 
 Previous owner information has been wiped & the device has been reset to factory settings.
 Cosmetically, the iPhone casing shows minor blemishes, wear, & tear (see pictures).
 The LCD screen is damaged and does not show an image on the display/screen (see pictures). 
 The iPhone appears to be a bit swollen, likely due to the battery (see pictures).",1
"Phone 7 - 32GB - Unlocked for any carrier worldwide - Comes with charger
 
 - Clean IMEI
 - Clean iCloud
 - Good Condition (Back and sides are perfect but device has minor scratches on upper right corner of screen. Does not affect functionality and most...read m",3
"New Gold Unlocked128gb Iphone 6s PlusA1687 Bundle!!
 New Gold Unlocked128gb Iphone 6s PlusA1687 Bundle!!!
 Please Note: This is a brand new128gb Iphone 6s PlusA1687. It is still sealed in the package.It comes witha new Supcase Unicorn Beetle Pro case with holster.Unlocked and Ready to Rock on GSMnetworks like ATT & T-mobile!
 M305c
 Thank you
 And don't forget:I run the Fastest Ship in the West. Pay Today;Gone Tomorrow!",5
"Gently Used - Tested Working and Functional with ISSUE. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. ISSUE: Face ID Detection is Not Functional - Camera Keeps Adjusting - Functional AS IS.",1
"IPHONE 7 UNLOCKED 32GB ROSE GOLD
 
 ""The device will come in a generic white box with a MFI certified lightning cable.
 The battery life is guaranteed to be at 80% or higher.
 Price is non-negotiable.
 All of our devices include a 30-day hassle-free warranty.
 Unwanted/Purchased by mistake: WITHIN 3-Days after delivery, 30% restocking fee.
 We will repair, replace or refund. This does not cover accidental damage.
 Devices returned with activation locks will be sent back to the buyer and become nonreturnable if activation lock is not removed within 3 business days.
 We are not responsible for providing incorrect addresses. Make sure to CHECK and re-check and re-verify your address BEFORE you purchase this device.
 Thank you! ""
 
 Damage Description
 
 ""This device is 100 % functional and in good condition 
 No cracks
 This device will show signs of wear and usage ""
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"Near mint w/ 94% battery health, new $70 case & more - 30 day $ back guarantee
 [PREMIUM PRE-OWNED] The 6s is arguably the best iPhone value for the money and iOS 12 brings optimized performance for older generation iPhones, so this has lots of life left! iOS battery health reports at 94%. This is a Verizon phone that can also be used with any sim card from any carrier worldwide.
 [INCLUDED] Tempered glass screen protector applied, lighting cable, USB block, and a new $70 Speck case in retail packaging (case w/ a BONUS virtual reality viewer). 
 [SHIPPING] USPS first class (3-5 day) shipping within 24 hrs (M-F).
 [MONEY BACK GUARANTEE] If you experience any issues with your device within the first 30 days you are covered! Leave a comment via the sale page and we will quickly work out a resolution. Returns are easy! A prepaid shipping label will be provided in the event a return/refund is necessary.
 
 Damage description
 Clear screen, extremely light wear on the frame. See pictures.",3
"BRAND NEW**SEALED**A1920**64GB**warranty
 
 -sealed-a1920-gold-comes with apple warranty once activated, warranty until august 2020.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",5
"Decent phone.
 Phone was my sisters and she recently upgraded. I didnâ€™t use this phone personally but I can try and answer questions. Comes with charger and power block, but no box.
 
 Damage description
 Noticeable wear and tear.",2
"Device is 100% fully functional and in Very Good physical condition. Item shows light signs of wear, scratches, and/or dings. There is a faint bright spot on the LCD that is only visible against bright backgrounds. Please reference ACTUAL photos and listing for further details.",1
In MINT condition. icloud and passwords removed,4
"â€œ""""""Excellent cosmetic condition 9.9/10, Over-stock item, Comes with Original box with all OEM Accessories with Glass screen Protector and Case""""""""â€â€",4
"Mint Space Gray iPhone XS Max - 256 GB - Factory Unlocked - Warranty till May 2020 - Apple Case
 
 Hi, this is a mint condition Unlocked silver iPhone XS Max, purchased from the apple store May 7, 2019.It has 256 GB of internal storage and comes with the original box, brand new, unused charging cable, plug and headphones.All manuals and stickers are in the box as well.Looks brand new from the store.We decided to go with the XR for financial reasons, but could not return this device.Thank you.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Sprint ONLY | NEW OPEN BOX | New Original Accessories |60 Day Warranty | Free Tempered Glass
 
 Like New DeviceÂ» Little to no signs of useÂ» Original Box + NEW OEM Accessories Included!
 Sprint - CLEAN ESNÂ» Compatible with Sprint ONLY!Â» Can NOT be unlocked for other carriers!Â» 100% CLEAN / NON FINANCED IMEI
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
The front screen is in good condition with a couple of light scratches (see pictures). The back is in good condition with a few light scuffs (see pictures). The sides are in good condition with a few light scuffs (see pictures). All buttons and both cameras work perfectly. Does not include original box or charger. Overall the iPhone is in good condition and is not iCloud locked.,3
"In good condition GSM Factory unlocked 256GB + Charger included + Free fast shipping
 
 In good condition GSM Factory unlocked 256GB + Charger included + Free fast shipping + Battery health 95%
 
 Damage Description
 
 No damage
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
This is a rose gold iPhone 7 with 128gigs of storage. This phone has always been kept in a case with a screen protector and is in perfect like new condition with no scratches or blemishes. I am only selling this phone because I upgraded. I will only sell and ship to the United States. Free ground shipping is included.,4
"FAST FREE SHIPPING* UNLOCKED* 30 DAY WARRANTY
 FAST FREE SHIPPING 30 DAY WARRANTYBUY WITH CONFIDENCE: HIGH CUSTOMER SATISFACTION RATE & FEEDBACK â€¢ The item will be shipped every day on Monday-Friday as long as payment clears by 2:00 P.M. EST. â€¢ We do not ship on holidays or on weekends. â€¢ Price is set at the lowest possible for the phones condition. PRICE FIRMâ€¢ No charger included. â€¢ Please see pictures.â€¢ Every device has been through a 50-point diagnosis testRETURN POLICYWe accept returns 30 days from the day you receive the device based on tracking delivery date. â€¢ Item will be exchanged for any functionality issue within the 30-day period. â€¢ If the item is not in stock, a refund will be processed. â€¢ For buyerâ€™s remorse (change of heart) refund will be issued less 20% which is the restock fee. â€¢ Warranty is voided for any devices that are opened (taken apart), or damaged caused to it externally or internally by the purchaser. 
 
 Damage description
 Please see pictures for exact description. scratches on screen.",2
like new.always kept in case.not a scratch on it,3
As is for parts/repair only. Phone is bent as shown in photos,0
"Apple iPhone 7 32GB fully cleared. FULLY UNLOCKED NO ICLOUD ACTIVE. 
 
 Comes with Otterbox and Tempered glass screen protector",3
Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen,1
