ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone SE,verizon,64 GB,rose gold,115.5,This phone is used but is in great condition!  No scratches or blemishes.
iPhone 7 Plus,at&t,128 GB,rose gold,309.99,"iCloud Account is clean (Not Active) - iPhone is in Grade A (9.5/10) Condition (Check pictures and description) - Battery Health is at 88% Maximum Capacity - iPhone has Clean IMEI with AT&T - iPhone is NOT GSM Unlocked - iPhone works with AT&T Network Only (AT&T, Cricket, H2O) - Only iPhone is included (No Charger, No Cable, No Box etc.)"
iPhone 7 Plus,unlocked,32 GB,rose gold,288,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 6,unlocked,64 GB,gold,103.11,"Gently Used - Tested Working and Functional with MINOR ISSUE. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. MINOR ISSUE: Weak WiFi Signal. SOLD AS IS."
iPhone 8,at&t,64 GB,space gray,319,GRADE A CONDITION (8.5/10) Front glass and back may show minor wear with a few very minor scratches. Sides of the phone may have a few small and minor markings and nicks. Iphone works great and satisfaction is guaranteed. Includes a *NEW GENUINE Straight Talk Nano SIM Card Activation kit along with a Straight Talk set up guide. NEW Sync cable and wall block power adaptor are included.
iPhone 6 Plus,unlocked,16 GB,silver,117.5,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 7,verizon,256 GB,black,257,"In good used condition. Screen shows some small scratches, but no deep scratches or cracks. Housing is in good shape. Battery takes and holds a charge. Swappa has IMEI and not on global blacklist 359164071838016. iCloud/ find my iPhone is deactivated/ disabled."
iPhone 7,unlocked,128 GB,silver,273.77,"This Factory Unlocked Silver 128GB Apple iPhone 7 is in EXCELLENT cosmetic condition. This phone was a store model. The front glass has a few light surface scratches scattered around from handling while on display but they are light and otherwise the screen looks and works perfect. The body is perfect. Overall the phone looks awesome. The battery life is great on this phone. (I tested it with official Apple software). It does not come with the original box, but it does come with an OEM Apple USB cable and an OEM Apple Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 6s,unlocked,128 GB,space gray,179.99,Near Mint condition.  Phones will have very minimal wear on the housing or screen.
iPhone 7,sprint,32 GB,rose gold,149.99,"THIS ITEM IS EXCELLENT CONDITION, WORKS FLAWLESSLY(INCLUDES CHARGER)"
iPhone Xs Max,at&t,64 GB,gold,325,IMEI INFO IN PICTURES/ PRICE FIRM/  Please Use for Overseas Use/ All you will receive is phone only no accessories/ Sold as is no returns/ PLZ Read description below!
iPhone Xs Max,at&t,64 GB,gold,540,"Physically excellent condition, clean iCloud, only BAD IMEI. (1124643004)"
iPhone 7,verizon,128 GB,black,145,Badly Cracked Screen - Chips & Scratches - Tested & Working - Clean IMEI
iPhone 6,t-mobile,64 GB,gold,51,This product is used and in good working condition. It is in good cosmetic condition with signs of normal use/wear. Please see images. The item has been tested and does function properly.
iPhone 7 Plus,sprint,128 GB,rose gold,154.5,"Phone is in good cosmetic condition and is functional, however IT HAS A BAD ESN/IMEI AND IS BEING SOLD AS-IS!"
iPhone 7 Plus,unlocked,32 GB,silver,271,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the original setting.No Icloud account linked to the device.
iPhone 7,at&t,32 GB,silver,123.5,"iPhone 7 fully functional and was purchased unlocked, but front screen is cracked.  Includes original navy blue leather iPhone 7 case, charging cable, and wall charger.  Please contact with additional questions."
iPhone 5s,unlocked,64 GB,gold,69.99,The item has some scratches/dents around the body. Fully tested. Comes with a charger and headphones.
iPhone 6,at&t,128 GB,silver,86,"Light Cracked Screen at the top left side (see pictures) Unit is in great working conditions, wiped, clean IMEI, Find my iPhone OFF and also Touch ID works."
iPhone Xs Max,at&t,64 GB,silver,615,"Good Condition and ready for AT&T only! Not eligible for Unlock by AT&T at this moment (installment unpaid)! and it is not unlocked for any Other Carrier too! !The Screen has some light scratches.The Housing has some scratches and wear.The Back also has some scratches too.Overall,I still rate this phone is Good Condition,7.5-8/10. Phone only! No Charger and No Cable!!"
iPhone 7,verizon,128 GB,black,257.75,Great condition! 9 of 10! Free Delivery! Fits Verizon+GSM Carriers! Please check real photos and read all details below!
iPhone 6,unlocked,16 GB,gold,76,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone Xs Max,verizon,64 GB,space gray,489,Tested and fully functional but has a bad IMEI on spectrum mobile. Properly erased though.
iPhone 5c,unlocked,8 GB,white,37.99,GSM Unlocked from AT&T. Clean IMEI - iCloud is OFF - Glass 7/10 -  visible wear and tear - -  as pictured. Good Housing 8/10 - some wear and tear -   as pictured.  LCD has that pinkish shadow in the center of the screen - as pictured.
iPhone 7,sprint,32 GB,rose gold,95,Screen protector is stuck to phone. Unable to remove. Screen protector is cracked NOT front screen.
iPhone 6 Plus,verizon,64 GB,space gray,85,"Touch screen works sometimes, it has the white bar across the top, can be fixed, or used for parts."
iPhone 7 Plus,t-mobile,32 GB,black,306.42,"This T-Mobile Matte Black 32GB Apple iPhone 7 Plus is in EXCELLENT cosmetic condition. This phone was a store model. The screen is perfect. It looks and works perfectly. The body is in awesome shape but while on display was attached to a casing that left some light rubbing on the back and there is some light scuffing on the very bottom bezel edge from what looks like an accidental drop while handling on display. It is nothing bad and overall the phone looks awesome. The battery health is 90% on this phone. It does not come with the original box, but it does come with an OEM Apple USB cable and an OEM Apple Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 7,unlocked,32 GB,black,154.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7,unlocked,128 GB,silver,180.5,"35 Point Inspection. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 6,sprint,16 GB,silver,69.95,"Tested and fully functional, clean IMEI, no icloud lock. Has light wear from normal use, see photos for indication of actual condition."
iPhone 6,sprint,16 GB,gray,55.01,"Tested and fully functional, clean IMEI, no icloud lock. Has light wear from normal use, see photos for indication of actual condition."
iPhone 7,verizon,32 GB,silver,41,"Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 8,verizon,64 GB,space gray,374.51,Used for 1 month battery life shows 100% phone is in very good condition with no issues
iPhone 6s,at&t,32 GB,space gray,115,"NOT INCLUDED: USB wall charging block, USB charging cable, headphones & SIM card"
iPhone 7 Plus,at&t,128 GB,black,300,Excellent condition. Has had screen protector and hard safety case while I used it. (those are not included)
iPhone 7 Plus,unlocked,128 GB,black,349.99,Near Mint condition.  Phones will have very minimal wear on the housing or screen.
iPhone X,unlocked,128 GB,space gray,650,This great iphone X is unlocked and like brand new. I have used it with Verizon and AT&T. It has been in a case since purchased. The case and all original packaging are included. Also includes pictured arm band holder.I am not interested in a private offer. Please use the auction process for your purchase.
iPhone 6s Plus,unlocked,16 GB,rose gold,132.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 6,verizon,128 GB,gold,91,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional other than having a bad touch ID.  It is in VERY GOOD cosmetic condition showing only minor signs of use on screen and/or casing.  This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint.  Premium aftermarket wall charger is included.  Original packaging and SIM card are not included."
iPhone 4S,at&t,16 GB,white,34.99,* Small crack in top-right corner.* Back-panel has been replaced with non-original plate with matching color.
iPhone X,at&t,64 GB,space gray,155.5,The phone will not turn on and DOES NOT WORK! I am selling just the phone for parts only. The exterior of the phone is in great condition - please see photos.
iPhone XR,at&t,64 GB,black,349,"IPHONE XR  -Black (att ) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone 5s,unlocked,64 GB,gold,69.99,The item has some scratches around the case and on the screen (non visible while powered on). Fully tested. Comes with a charger and headphones.
iPhone Xs Max,sprint,64 GB,silver,514.95,Mint Condition. Clean iCloud / Off. Bad ESN with Sprint (USA) (Unpaid Bills / Financed).Includes Phone Only. Sold As-is for Parts Only. Please See photos.
iPhone 6s,sprint,64 GB,silver,70,This phone in the cosmetic condition shown - the screen is cracked.  It is in good working order.  The IMEI (356953062624978) is clean. The sale includes ONLY what is shown.
iPhone XR,at&t,64 GB,white,350.5,"IPHONE XR  -WITHE (att) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone SE,at&t,64 GB,space gray,12.5,"I am not sure why its not powering on anymore. For parts, No returns."
iPhone 8 Plus,t-mobile,64 GB,red,199.5,"Please read the description below for exact details about the issues with this device. The device has the following issues: Financed, Cracked Back Glass, Cracked Screen, Ear Speaker"
iPhone XR,t-mobile,64 GB,white,382.98,"IPHONE XR  -WITHE (tmobile ) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone 7 Plus,unlocked,32 GB,silver,285,"Silver IPHONE 7 Plus 32 gig , Phone  compatible with Sprint & T-mobile Networks as well as AT&T & Verizon .Phone is in Great condition from an operational standpoint.Minor damage to the OUTER parts of the LCD screen ,see pictures highlighted in yellow marker.Iphone has minor scratches and dings.Screen is in great condition.Earpods not included.cable only included,no wall connector No international shippingItem Sold as IS Serious Inquiries Only please"
iPhone 7,unlocked,128 GB,jet black,220.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 8 Plus,at&t,64 GB,space gray,257,"IPHONE 8 PLUS 64GB -Black (ATT) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone 8 Plus,at&t,64 GB,space gray,287,"IPHONE 8 PLUS 64GB -Black (ATT) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone 8 Plus,sprint,64 GB,space gray,234,"IPHONE 8 PLUS 64GB -Black (ATT) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone X,sprint,64 GB,space gray,372,"IPHONE x 64GB -Black (Sprint) Smartphone - Very Good Condition PLEASE READ BELOW BEFORE BIDDING and please check the IMEI/ESN if you intend to activate this unit (See pictures for reference). Please feel free to contact us if you have questions, if you do not understand the description, or if there is an error in our listing:"
iPhone 7,unlocked,128 GB,red,217.5,This is a used good condition device which shows a sign of normal use with Scratches.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed. ( No icloud account associated with the device. )
iPhone 5s,at&t,64 GB,gray,34.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:
iPhone 6s,verizon,64 GB,silver,117.5,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 6s,unlocked,32 GB,rose gold,100,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 8,unlocked,64 GB,silver,199.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:
iPhone 8 Plus,unlocked,64 GB,gold,296.07,Turns on and works well. WATER DAMAGE. CRACKED SCREEN. Vibrates hard and loudly.
iPhone 7,at&t,32 GB,black,32.56,"Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:*Screen separated, SEE PICS."
iPhone 7,unlocked,128 GB,black,165,"Great Working Condition, Always Kept In Case w/Screen Protector, Physically in Great Gently Used Condition. The front screen has a few light scratches (unnoticeable when screen is on). Back has a few light scuffs but mostly case rub. All buttons and both cameras work perfectly. Please review all pictures and ask any questions you may have."
iPhone Xs Max,at&t,512 GB,space gray,1051,"Front is 10/10 perfect. The back has a small scratch on the bottom right, but it is not noticeable so 9.5/10."
iPhone 6 Plus,unlocked,128 GB,silver,162.5,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 7 Plus,unlocked,32 GB,gold,269,"Great condition, light use, no cracks, scratches, or dents. Has been in a case since purchase. Perfect working order"
iPhone XR,verizon,64 GB,red,200.5,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:Back cracked.
iPhone Xs Max,unlocked,64 GB,space gray,829.95,"CUSTOMER RETURN WORKS PERFECT - APPLE WARRANTY VALID UNTIL MAY 29, 2020 - NO CONTRACT NO FINANCE  - THERE IS SOME VERY LIGHT SURFACE MARKS IN THE UPPER RIGHT HAND CORNER OF THE DISPLAY, NOT NOTICEABLE AND HARD TO SEE THERE IS A SMALL SCRATCH FURTHER DOWN - BOX IS NOT INCLUDED"
iPhone Xs,unlocked,64 GB,silver,875,NEW - Clean IMEI - BOX IS NOT INCLUDED - NO CONTRACT NO FINANCE - WORKS ON ANY NETWORK
iPhone 7 Plus,unlocked,32 GB,rose gold,103.5,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) Defects are listed below:
iPhone 7,unlocked,32 GB,rose gold,177.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 6s Plus,at&t,128 GB,silver,219.94,"Great Condition - Phone has some scratches & scuffs on the body and minor marks on the display.
SIM card NOT included
You will receive the listed phone, and non-oem compatible charger.
Nothing else will be included unless specifically listed in our listing.
Clean IMEI, 100% fully functional.
STOCK PHOTOS: You will receive the listed phone in the condition described."
iPhone SE,unlocked,16 GB,silver,74.94,"Great Condition - Phone has some scratches & scuffs on the body and minor marks on the display.
Unlocked phones will work with most GSM SIM cards, check with your carrier to ensure compatibility.
SIM card NOT included. 
You will receive the listed phone in the condition as described above, and non-oem compatible charger.
Nothing else will be included unless specifically listed in our listing.
Clean IMEI, 100% fully functional."
iPhone 7 Plus,unlocked,32 GB,rose gold,290,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 6 Plus,verizon,16 GB,gold,84.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) Defects are listed below:
iPhone 7,at&t,32 GB,jet black,87,"Good condition ,- Has cracked screen ,- Please see all the pictures,- No returns ,- AS-IS."
iPhone 5,verizon,16 GB,black,28.99,The phone is fully functional and works great but the phone has a Bad IMEI so it will not work on the Verizon Network. Please read the full description.
iPhone 7,unlocked,128 GB,black,168.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone Xs Max,unlocked,256 GB,space gray,1099,"FLAWLESS condition, (10/10). Fully tested and functional, guaranteed! Verified Clear IMEI. Ready to activate on AT&T, Verizon and T-Mobile network. Factory erased and restored, running iOS 12.3.1. Like new condition with no display imperfections! Stainless steel frame and rear glass is mint with no markings or scratches. Display is vivid and flawless with no discoloration, hotspots, or dead pixels. Front glass is also mint and free of scratches or markings. 100% battery health according to iOS battery health diagnostics! (Photos are for reference only)."
iPhone 6 Plus,unlocked,64 GB,gold,146.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 7 Plus,verizon,32 GB,black,207.5,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for a bad touch ID.  It is in VERY GOOD cosmetic condition showing only minor signs of use on screen and/or casing.  This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint.  Premium aftermarket wall charger is included.  Original packaging and SIM card are not included."
iPhone 6,unlocked,64 GB,gold,54,"Minor screen burn at the top. Battery replaced by Apple during recall. Performed factory reset after software issues, and upgraded to iPhone XS.I CANNOT VERIFY WHETHER SOFTWARE ISSUES WILL PERSIST AFTER REACTIVATION.No blemishes on the phone or scratches on the screen. Been in a case and with a screen protector its whole life. Network unlocked through AT&T. Confirmation attached.ONLY PHONE IS INCLUDED. NO ACCESSORIES."
iPhone 7 Plus,verizon,128 GB,red,72,"This device is a Product Red iPhone 7 Plus for the Verizon network. This device has a clean ESN and can be activated on the Verizon network. This device is iCloud locked. FOR PARTS. NO RETURNS. Due to this, I am not able to fully test this device. SELLING AS IS. There are a lot of scratches on the screen, and some scuff stains at the bottom of the screen. PLEASE SEE PHOTO. There are some small light nicks on the sides of the housing. There are some lines of wear on the back housing."
iPhone 8 Plus,t-mobile,64 GB,gold,282,Please read the description below for exact details about the issues with this device. The device has the following issues: Financed
iPhone 6s,unlocked,32 GB,silver,94.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7 Plus,t-mobile,32 GB,gold,138.5,"Please read the description below for exact details about the issues with this device. The device has the following issues: Audio IC, Cracked Screen"
iPhone 7,t-mobile,32 GB,silver,177.5,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs. Refer to photos for condition. The device has been reset to the Original setting. No Icloud account linked to the device
iPhone 7,unlocked,32 GB,black,139.95,"**AS-IS**  Taptic Engine Issue** Phone shows signs of normal and visible wear, with scratches, scuffs, and dents on the body of the phone also including many scratches, scuffs, and a few nicks on the screen that will show up while the screen is on. Blemishes are minimal but easily noticeable. The device makes a loud rattling/buzzing noise when it is vibrating when pressing the home button. The iCloud was removed from the iPhone and Find my iPhone has been turned off. Phone only no accessories are included. Pictures are of the actual phone. It is being sold strictly 'AS-IS for parts or repair only with no guarantees and can NOT be returned if you cannot use it or repair it."
iPhone 7,unlocked,32 GB,rose gold,139.95,"*AS-IS* Cracked Screen** Phone shows signs of normal and visible wear, with scratches, scuffs, and dents on the body of the phone including heavy wear scratches and scuffs on the screen that will show up while the screen is on. It has a crack and a chip on the top left corner on the screen. Blemishes are all over the phone and easily noticeable. The iCloud was removed from the iPhone and Find my iPhone has been turned off. Pictures are of the actual phone. Phone only no accessories are included. It is being sold strictly 'AS-IS for parts or repair only with no guarantees and can NOT be returned if you cannot use it."
iPhone 6,unlocked,64 GB,gray,86,"Item is clean ESN/IMEI. FINGERPRINT DOES NOT WORK. Item has been fully tested and is in excellent working order. There are no iCloud account locks or signs of water damages. This phone is fully functional with unlocked for AT&T, T-mobile GSM networks and Sprint, Verizon 4G CDMA networks. Pictures are the actual item This listing is for the PHONE ONLY and does NOT include any box, charger, or other accessories. Please review the description, and ask any questions before purchase. Thanks in advance!"
iPhone 5c,t-mobile,16 GB,white,50,"great cosmetically, imei is fine.everything works except the modem, it correctly connects to t-mobile but it drops connection after a while, im not sure whats wrong but i have a newer phone and dont have time to fix it. so im taking a hit and listing it as not working although its probably fixable"
iPhone 8,t-mobile,64 GB,space gray,114.95,Phone is in flawless mint physical condition. This in a T-Mobile phone with a bad esn so it cannot be activated. It is also Apple I.D. iCloud locked. For this reason selling as is for parts. The IMEI is 356079096784107
iPhone SE,unlocked,64 GB,rose gold,69.99,"Phone has random Wi-Fi disconnections often, and the proximity sensor is malfunctioning. Wi-Fi will disconnect randomly on its own. The phone's screen will not go black when you put it up to your face while making a call, because of the proximity sensor not working. The screen has light spots across the top of the screen (see photos). The spots look really bad on white screens, but they are harder to . see on other screens. There are a few light minor scratches on the screen. Other than that, the phone is in great condition, with only one or two minor scratches on the body of the phone. The phone is unlocked for any carrier. This listing is for the PHONE ONLY. DOES NOT INCLUDE ACCESSORIES OR CHARGER."
iPhone 6 Plus,unlocked,16 GB,gold,118.59,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 6s,unlocked,128 GB,space gray,197.88,"This Factory Unlocked 128GB Apple iPhone 6S is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery health is at 95% on this phone! It comes with the original box and comes with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 6s,verizon,32 GB,space gray,111.5,"This is a pre-owned Apple iPhone 6s. The unit has been wiped and the iOS has been re-installed. Item shows signs of wear and scratches, they are GRADE C condition. (Tested and Full Functions, R2/Ready for Resale). Pictures are our own taken to represent the unit and damages. Factory Unlocked."
iPhone 6,at&t,16 GB,gray,73,"NOT INCLUDED: USB wall charging block, USB charging cable, headphones & SIM card"
iPhone 7,unlocked,32 GB,black,164.5,"No cracks, scratches or dents. Some almost imperceptible scuffs on the back.  Phone works great."
iPhone 6s,at&t,32 GB,space gray,51.98,"This is a pre-owned Apple iPhone 6s. The unit has been wiped and the iOS has been re-installed. Item shows signs of wear and scratches, they are GRADE C condition. (Tested and Full Functions, R2/Ready for Resale). Pictures are our own taken to represent the unit and damages. WILL NOT WORK OUTSIDE USA."
iPhone 6s,sprint,32 GB,space gray,54.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) Defects are listed below:
iPhone 6s,at&t,32 GB,space gray,84,"Tested for Key Functions, R2/Ready for Resale.                                                                                         ""CRACKED SCREEN""                                                                                                                          NOT INCLUDED: USB wall charging block, USB charging cable, headphones & SIM card"
iPhone 6s,verizon,32 GB,space gray,115.5,"NOT INCLUDED: USB wall charging block, USB charging cable, headphones & SIM card"
iPhone 4S,at&t,32 GB,black,37,Apple iPhone 4s - 32GB - Black (ATT) WITH COMPATIBLE CHARGER. ACTUAL PICTURE SO PLEASE REFER TO THE PICTURE. GRADE B BODY CONDITION
iPhone 8,at&t,64 GB,space gray,295,"The iPhone has been tested to power on (as pictured) connect to iTunes, and function flawlessly. 
 The iPhone still has the protective plastic on it (see pictures).
 The iPhone is under Apple Limited Warranty. Please visit the Apple Support website for additional information. 
 The previous iCloud account has been properly removed (see pictures). 
 The iPhone has been erased and restored via iTunes.
 The battery holds a good/healthy charge (see pictures). 
 The iPhone is ready for activation with AT&T. It is on AT&T Next (financed) and is not GSM unlocked."
iPhone 7 Plus,verizon,256 GB,black,172.5,"Home Button / Fingerprint ID is Broken, everything else works perfectly on the phone.  Clean ESN ready to activate with any sim card/carrier works GSM or CDMA.  No iCloud Lock, you can see in the photo a new user can sign in"
iPhone 6s Plus,unlocked,64 GB,gold,199.99,"This device is in overall pretty good cosmetic condition. The screen looks really great! Home button and touch ID work fine. Frame and back of the device looks great, too! See pictures for more details. Battery health shows nothing because software is too old."
iPhone 6,verizon,64 GB,gray,61.02,"Please read the description below for exact details about the issues with this device. The device has the following issues: Home Button, Slight Bend, Touch ID"
iPhone 6,unlocked,16 GB,gray,95,Used Excellent Condition.  9/10 cosmetics with very minor blemishes on the screen and housing.
iPhone 6s,unlocked,64 GB,silver,133.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7,t-mobile,256 GB,silver,251.58,"Good condition! Will work with T-Mobile, Simple Mobile, Lycamobile, Home, Metro PCS, Ultra Mobile Networks! 256GB! Free Fast Delivery! Check real pictures and all details!"
iPhone 6s Plus,at&t,16 GB,gold,140,Excellent work and cosmetic condition with some minor scratches. Look very pretty***
iPhone 8 Plus,verizon,256 GB,space gray,599,iPhone has been removed from packaging.  Decided this was too large so never used it.  Includes all original packaging and included accessories.  No SIM card.
iPhone 7 Plus,at&t,32 GB,black,222.59,"This phone is in good condition (8.5/10). It shows light signs of use on the body, such as scratches and marks. The IMEI of the device is: 356573081993251. The carrier of this device is AT&T. This device is free of iCloud accounts. It is tested to be 100% working and functional aside from the stated condition notes."
iPhone SE,unlocked,32 GB,rose gold,64.95,"There are no cracks on the screen. This is a used item that shows signs of use such as marks, dents, and scratches. There is a chip on the back. The screen has been replaced so it is in great condition. Please see the pictures for more details."
iPhone 6,unlocked,16 GB,gray,69.99,"Space Gray; iPhone 6; Model: MN1M2LL/A, iOS Ver 12.4,  16 GB; In excellent condition"
iPhone 6,unlocked,128 GB,silver,121.01,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7 Plus,unlocked,32 GB,gold,279.95,Please Read! Phone is Unlocked For Any Carrier! Clean ESN! Phone is in Great Condition! Comes With Apple Certified Charger! Please Read Description! Please See Photos!
iPhone 7 Plus,unlocked,128 GB,gold,305,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account linked to the device.
iPhone 7,unlocked,256 GB,black,237.06,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7 Plus,unlocked,128 GB,jet black,305,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been reset to the Original setting.No iCloud account linked to the device.The device has been tested by our internal Certified QC using Certified Software.
iPhone 6,unlocked,16 GB,gray,95,Used Excellent Condition.  9/10 cosmetics with very minor blemishes on the screen and housing.
iPhone X,sprint,64 GB,space gray,438,Overall good shape. Any scratches on the screen are very light. Same with the back. See pictures. I can only confirm that this works with sprint. Clean ESN.
iPhone 6s,unlocked,64 GB,space gray,109.95,The phone is cracked on the front glass. The phone shows light to moderate scratches and normal signs of wear on the phone and around the edges.
iPhone 7 Plus,verizon,32 GB,black,270.05,Please read the description below for exact details about the issues with this device. The device has the following issues: Back Camera Glass
iPhone 8 Plus,unlocked,64 GB,gold,109.95,Screen is cracked but fully functional. The back of the phone has light wear. This phone is carrier unlocked but  is Apple I.D. iCloud locked so it cannot be activated. For this reason selling as is for parts. The IMEI is 356708086677869
